Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,48,4,4,48,1,1,1,1,0,0,0.014450,0.014905,0.037319,NOT SUPPORT!,0.053703,0.043918,NOT SUPPORT!,NOT SUPPORT!,0
64,48,7,7,48,1,1,1,1,0,0,0.015474,0.016156,0.036295,NOT SUPPORT!,0.053703,0.051086,NOT SUPPORT!,NOT SUPPORT!,0
64,48,8,8,48,1,1,1,1,0,0,0.015588,0.015701,0.036295,NOT SUPPORT!,0.054727,0.051655,NOT SUPPORT!,NOT SUPPORT!,0
64,48,15,15,48,1,1,1,1,0,0,0.023780,0.024007,0.044487,NOT SUPPORT!,0.057572,0.063147,NOT SUPPORT!,NOT SUPPORT!,0
64,48,16,16,48,1,1,1,1,0,0,0.023893,0.024462,0.044487,NOT SUPPORT!,0.059847,0.068153,NOT SUPPORT!,NOT SUPPORT!,0
64,48,24,24,48,1,1,1,1,0,0,0.034930,0.035271,0.053931,NOT SUPPORT!,0.126635,0.091250,NOT SUPPORT!,NOT SUPPORT!,0
64,48,32,32,48,1,1,1,1,0,0,0.050972,0.099442,0.093412,NOT SUPPORT!,0.128455,0.113664,NOT SUPPORT!,NOT SUPPORT!,0
64,48,48,48,48,1,1,1,1,0,0,0.102514,0.147456,0.148252,NOT SUPPORT!,0.523833,0.261689,NOT SUPPORT!,NOT SUPPORT!,0
64,48,64,64,48,1,1,1,1,0,0,0.166457,0.157810,0.246670,NOT SUPPORT!,0.546247,0.340992,NOT SUPPORT!,NOT SUPPORT!,1
64,48,96,96,48,1,1,1,1,0,0,0.426212,0.428259,0.571733,NOT SUPPORT!,3.281123,0.885305,NOT SUPPORT!,NOT SUPPORT!,0
64,48,97,97,48,1,1,1,1,0,0,0.409941,0.438613,0.558308,NOT SUPPORT!,2.974037,1.311516,NOT SUPPORT!,NOT SUPPORT!,0
64,48,128,128,48,1,1,1,1,0,0,0.665941,0.626119,0.874268,NOT SUPPORT!,3.091683,1.434396,NOT SUPPORT!,NOT SUPPORT!,1
64,48,256,256,48,1,1,1,1,0,0,2.974037,2.769238,3.902009,NOT SUPPORT!,12.313374,5.381575,NOT SUPPORT!,NOT SUPPORT!,1
64,48,384,384,48,1,1,1,1,0,0,6.125795,5.489209,7.856242,NOT SUPPORT!,NOT SUPPORT!,15.038578,NOT SUPPORT!,NOT SUPPORT!,1
64,48,512,512,48,1,1,1,1,0,0,10.156640,9.744099,13.827435,NOT SUPPORT!,NOT SUPPORT!,21.467695,NOT SUPPORT!,NOT SUPPORT!,1
