Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,384,16,16,384,3,3,1,1,0,0,2.978133,2.259741,2.349853,NOT SUPPORT!,0.934798,2.414137,1.301049,0.710428,7,7,1,0.0032240639958366,458.0700225517108,324.2077183795999,10693.065282984306,31.87,56.13,56.13,13.24,73.11,45.29,790536.0,150528.0,68.0
64,384,24,24,384,3,3,1,1,0,0,5.820984,5.090987,5.323207,NOT SUPPORT!,3.061760,2.439623,2.792562,1.562283,7,7,1,0.0073313280003129,385.2666129882467,352.073748151745,11612.14665779059,35.12,61.12,61.12,14.44,79.56,49.33,2058354.0,371712.0,68.0
64,512,15,15,512,3,3,1,1,0,0,3.970275,3.437227,3.513913,NOT SUPPORT!,1.600853,4.141966,2.140274,1.230962,7,7,1,0.0050055359977357,407.07446309188083,319.7303722766085,10556.772244152015,32.65,55.54,55.54,12.87,72.26,44.79,1166069.0,173056.0,68.0
64,512,16,16,512,3,3,1,1,0,0,3.984839,3.910542,4.008732,NOT SUPPORT!,1.626339,4.102713,2.160640,1.235058,7,7,1,0.0056932479990334,386.3848243381307,326.0196275158101,10764.429197956053,33.2,56.69,56.69,13.07,73.87,45.8,1365545.0,200704.0,68.0
64,640,15,15,640,3,3,1,1,0,0,6.154809,4.852850,4.915883,NOT SUPPORT!,2.520064,6.586141,3.208875,1.906119,7,7,1,0.0071101120022445,357.0295788945803,351.4612201905041,11611.972038406277,33.5,61.14,61.14,14.14,79.56,49.31,1843573.0,216320.0,68.0
64,640,16,16,640,3,3,1,1,0,0,7.668849,6.855907,6.791054,NOT SUPPORT!,2.634069,6.627101,3.232312,1.911467,7,7,1,0.0088084159958205,351.74772807528586,329.0223533238153,10870.611456751558,34.03,57.2,57.2,13.16,74.55,46.2,2109481.0,250880.0,68.0
64,768,8,8,768,3,3,1,1,0,0,2.030478,1.561941,1.598123,NOT SUPPORT!,3.399452,8.955335,2.425173,0.731819,7,7,1,0.0024823999980673,711.4555778103008,308.6454143556715,10201.782334723246,21.14,53.53,53.53,12.42,69.85,43.19,394773.0,55296.0,68.0
64,768,15,15,768,3,3,1,1,0,0,7.395328,7.189050,7.230009,NOT SUPPORT!,3.425735,9.032476,4.632690,2.572743,7,7,1,0.0105803199971096,336.95954271003654,339.9515236762778,11236.555890982328,34.13,59.05,59.05,13.63,76.84,47.64,2561054.0,259584.0,68.0
64,1024,8,8,1024,3,3,1,1,0,0,4.038997,2.975403,2.987350,NOT SUPPORT!,6.086657,15.692461,4.074610,1.384220,7,7,1,0.0045108159977695,514.8445651903431,301.7888099787577,9980.540373684404,26.68,52.34,52.34,12.14,68.29,42.29,815200.0,73728.0,68.0
64,1024,15,15,1024,3,3,1,1,0,0,13.668352,12.353196,12.336697,NOT SUPPORT!,6.116693,15.803164,8.055012,4.594461,7,7,1,0.0182091199999792,335.97364526551803,350.956661717167,11606.58386216585,34.94,61.07,61.07,14.04,79.47,49.31,4529824.0,346112.0,68.0
64,2048,7,7,2048,3,3,1,1,0,0,8.002674,7.751566,7.680911,NOT SUPPORT!,23.672602,61.676773,16.188757,4.919182,7,7,1,0.0119186559977632,358.0754137043921,316.99466791465863,10491.925534512307,29.5,55.81,55.81,13.07,71.78,44.49,2476664.0,102400.0,68.0
64,2048,8,8,2048,3,3,1,1,0,0,14.632277,13.407801,12.489727,NOT SUPPORT!,23.611050,61.667099,16.190918,4.920661,7,7,1,0.0173819520025992,458.57948016023454,312.99917150769096,10359.682140479568,31.57,54.52,54.52,12.58,71.04,44.06,3454428.0,147456.0,68.0
64,4096,7,7,4096,3,3,1,1,0,0,43.794888,37.792194,34.471481,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,65.436798,19.286699,7,7,1,0.0458732480006454,379.3070385332671,329.29972605792966,10903.624665795689,33.17,58.12,58.12,13.49,74.7,46.34,9825450.0,204800.0,68.0
64,4096,8,8,4096,3,3,1,1,0,0,57.086868,52.189529,49.780396,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,66.114677,19.331301,7,7,1,0.0623440640042908,501.0473260140058,348.91387764684185,11553.079645985672,34.45,60.69,60.69,13.9,79.1,49.09,14368894.0,294912.0,68.0
