,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
79,26116352.0,5.07,3.67,349440.0,139266304.0,3.6,99154464.0,7.48,402961.78,1153164428.16,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.97
80,2293760.0,1.76,0.35,342496.0,34812992.0,1.0,31520064.0,2.02,368279.69,1075281711.86,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
81,26117504.0,4.63,3.64,364992.0,139265856.0,3.58,91355168.0,7.42,406046.06,1112479329.84,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.94
82,2293760.0,1.75,0.35,339392.0,34812032.0,1.0,31368896.0,2.01,369007.44,1087260290.3,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
83,26113152.0,4.69,3.69,363744.0,139272928.0,3.62,91342752.0,7.51,401000.85,1102426024.49,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.99
84,2293760.0,1.18,0.35,337344.0,34813440.0,0.99,20291040.0,1.99,372714.74,1104850659.09,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.07
85,26109440.0,5.07,3.67,349728.0,139256032.0,3.6,99133760.0,7.48,403098.69,1152606268.83,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.96
86,2293760.0,1.78,0.35,338336.0,34812128.0,1.0,31774656.0,2.02,367874.31,1087304675.87,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.09
87,26114432.0,4.68,3.68,364928.0,139265344.0,3.61,91349408.0,7.49,402275.67,1102342562.55,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.97
88,2293760.0,1.75,0.35,341440.0,34814528.0,1.0,31453888.0,2.0,371067.48,1086772145.86,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
89,26111232.0,4.68,3.68,366048.0,139263936.0,3.61,91348640.0,7.49,402126.02,1098560895.07,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.97
90,2293760.0,1.75,0.35,342144.0,34813600.0,1.0,31474752.0,2.01,369593.26,1080227212.11,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
91,26110208.0,5.09,3.69,352096.0,139266144.0,3.62,99115104.0,7.51,401044.61,1139020639.57,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.98
92,2293760.0,1.76,0.35,338784.0,34813408.0,0.99,31786688.0,1.99,372325.81,1099006490.31,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.07
93,26111616.0,4.69,3.68,364192.0,139265216.0,3.62,91353632.0,7.5,401447.96,1102297587.43,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.98
94,2293760.0,1.76,0.35,341152.0,34810880.0,1.0,31488576.0,2.01,369101.07,1081925575.91,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
95,26122112.0,4.65,3.66,365568.0,139256960.0,3.59,91350016.0,7.45,404606.69,1106789120.45,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,3.95
96,2302208.0,1.76,0.35,342944.0,34811136.0,1.0,31522112.0,2.01,368912.09,1075721087.39,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.08
