N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
2,2048,68,7.798400421334556e-05,0.0,0.0,0.0,6294528.0,12288.0,9216.0,0.0,0.0,0.0,0.0,574336.0,1439168.0,607488.0,12610560.0,0.0,12610560.0,21.956763984845107,8.762396051051718,20.758533501896334,150.60138710514056,0.0
34,2,64,8.09599792218069e-06,0.0,0.0,0.0,73728.0,8192.0,0.0,0.0,0.0,0.0,0.0,9856.0,228064.0,18720.0,155648.0,0.0,155648.0,15.792207792207792,0.6824750947102568,8.314529914529915,17.90495717601479,0.0
34,64,64,1.1391999282326968e-05,0.0,0.0,0.0,266240.0,16384.0,12288.0,0.0,0.0,0.0,0.0,34048.0,362592.0,67584.0,561152.0,0.0,561152.0,16.481203007518797,1.547612743800194,8.303030303030303,45.87548791381895,0.0
34,64,2,9.50400067094057e-06,0.0,0.0,0.0,133120.0,8192.0,6144.0,0.0,0.0,0.0,0.0,9856.0,251744.0,11904.0,280576.0,0.0,280576.0,28.467532467532468,1.114529045379433,23.56989247311828,27.494396490762462,0.0
2,2048,68,7.811199739402873e-05,0.0,0.0,0.0,6294528.0,12288.0,9216.0,0.0,0.0,0.0,0.0,574336.0,1424192.0,607488.0,12610560.0,0.0,12610560.0,21.956763984845107,8.854536466993215,20.758533501896334,150.3546138667909,0.0
34,2,64,8.287997102387844e-06,0.0,0.0,0.0,73728.0,8192.0,0.0,0.0,0.0,0.0,0.0,9856.0,230144.0,18720.0,155648.0,0.0,155648.0,15.792207792207792,0.6763070077864294,8.314529914529915,17.4901721493105,0.0
34,64,64,1.139199822074971e-05,0.0,0.0,0.0,266240.0,16384.0,12288.0,0.0,0.0,0.0,0.0,34048.0,359776.0,67584.0,561152.0,0.0,561152.0,16.481203007518797,1.559726051765543,8.303030303030303,45.87549218878228,0.0
34,64,2,9.631999999963756e-06,0.0,0.0,0.0,133120.0,8192.0,6144.0,0.0,0.0,0.0,0.0,9856.0,252032.0,11904.0,280576.0,0.0,280576.0,28.467532467532468,1.1132554596241746,23.56989247311828,27.12902436630978,0.0
2,2048,34,7.763200130246685e-05,0.0,0.0,0.0,4196352.0,8192.0,6144.0,0.0,0.0,0.0,0.0,295552.0,864608.0,312000.0,8407040.0,0.0,8407040.0,28.445214378518838,9.723527887782671,26.945641025641027,100.85616764135277,0.0
2,2048,68,7.878399607103747e-05,0.0,0.0,0.0,6294528.0,12288.0,9216.0,0.0,0.0,0.0,0.0,574336.0,1432128.0,607488.0,12610560.0,0.0,12610560.0,21.956763984845107,8.805469902131653,20.758533501896334,149.07214399169675,0.0
34,2,64,7.96799792667003e-06,0.0,0.0,0.0,73728.0,8192.0,0.0,0.0,0.0,0.0,0.0,9856.0,225760.0,18720.0,155648.0,0.0,155648.0,15.792207792207792,0.6894401133947555,8.314529914529915,18.192587074922944,0.0
34,64,64,1.1199997943018166e-05,0.0,0.0,0.0,266240.0,16384.0,12288.0,0.0,0.0,0.0,0.0,34048.0,361696.0,67584.0,561152.0,0.0,561152.0,16.481203007518797,1.5514465186233743,8.303030303030303,46.661930479765026,0.0
34,64,2,9.69600065624482e-06,0.0,0.0,0.0,133120.0,8192.0,6144.0,0.0,0.0,0.0,0.0,29696.0,252128.0,11904.0,280576.0,0.0,280576.0,9.448275862068966,1.112831577611372,23.56989247311828,26.94995307441681,0.0
2,2048,32,7.788799772502587e-05,0.0,0.0,0.0,2098176.0,4096.0,3072.0,0.0,0.0,0.0,0.0,1236480.0,1455296.0,279040.0,4203520.0,0.0,4203520.0,3.399585921325052,2.8884295703417036,15.064220183486238,50.26234058126003,0.0
1,2048,32,5.8560052513479146e-06,0.0,0.0,0.0,65536.0,0.0,65024.0,0.0,0.0,0.0,0.0,584832.0,927904.0,540672.0,196096.0,0.0,196096.0,0.3353031297876997,0.21133220678001172,0.3626893939393939,31.18655529719002,0.0
2,2048,32,7.772799967505843e-05,0.0,0.0,0.0,2098176.0,4096.0,3072.0,0.0,0.0,0.0,0.0,279040.0,795296.0,279040.0,4203520.0,0.0,4203520.0,15.064220183486238,5.285478614251801,15.064220183486238,50.36580235196582,0.0
1,2048,32,5.72800523407527e-06,0.0,0.0,0.0,65536.0,0.0,65024.0,0.0,0.0,0.0,0.0,270464.0,1052384.0,540672.0,196096.0,0.0,196096.0,0.7250354945575012,0.18633502599811474,0.3626893939393939,31.883461018045047,0.0
2,2048,32,7.782400130677053e-05,0.0,0.0,0.0,2098176.0,4096.0,3072.0,0.0,0.0,0.0,0.0,279040.0,791456.0,279040.0,4203520.0,0.0,4203520.0,15.064220183486238,5.311122791412283,15.064220183486238,50.30367242897177,0.0
1,2048,32,5.919994953215203e-06,0.0,0.0,0.0,65536.0,0.0,65024.0,0.0,0.0,0.0,0.0,270464.0,1051936.0,540672.0,196096.0,0.0,196096.0,0.7250354945575012,0.18641438262403798,0.3626893939393939,30.849457311210983,0.0
2,2048,64,7.8303999999712e-05,0.0,0.0,0.0,4196352.0,8192.0,6144.0,0.0,0.0,0.0,0.0,541440.0,1342240.0,558080.0,8407040.0,0.0,8407040.0,15.527186761229315,6.263440219334843,15.064220183486238,99.99062803591272,0.0
32,2,64,8.288003543273254e-06,0.0,0.0,0.0,36864.0,4096.0,0.0,0.0,0.0,0.0,0.0,255232.0,472928.0,17152.0,77824.0,0.0,77824.0,0.3049147442326981,0.16455781852628729,4.537313432835821,8.745079278555682,0.0
32,64,64,1.180800426477084e-05,0.0,0.0,0.0,133120.0,8192.0,6144.0,0.0,0.0,0.0,0.0,389504.0,670240.0,49152.0,280576.0,0.0,280576.0,0.720341767992113,0.41862019575077586,5.708333333333333,22.129629769437056,0.0
